date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:38	130787/130787	---M--	200	added ('OK')	image/png	etag:%224e026ac-1fee3-55b28990ae200%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/landing/screen1.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/landing/screen1.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-landing.html)
15:31:40	2238/2238	---M--	200	added ('OK')	application/javascript	etag:%224e02733-8be-55d7d4e175380%22	http://bootstraplovers.com/assan3.5/classic-template/html/js/landing.custom.js	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/js/landing.custom.js	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-landing.html)
15:31:41	32469/32469	---M--	200	added ('OK')	text/css	etag:%224e0255e-7ed5-55d7db6292c00%22	http://bootstraplovers.com/assan3.5/classic-template/html/css/style-event.css	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/css/style-event.css	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:31:41	38573/38573	---M--	200	added ('OK')	image/jpeg	etag:%224e026aa-96ad-55b24398c4e80%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/landing/crt3.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/landing/crt3.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-landing.html)
15:31:47	228864/228864	---M--	200	added ('OK')	image/jpeg	etag:%224e026a7-37e00-55b243f822f80%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/landing/bg1.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/landing/bg1.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-landing.html)
15:32:15	200447/200447	---M--	200	added ('OK')	image/jpeg	etag:%224e02645-30eff-55ae58fac5600%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/event/about.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/event/about.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:15	210921/210921	---M--	200	added ('OK')	image/jpeg	etag:%224e02649-337e9-55ad910188a00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/event/bg4.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/event/bg4.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:17	368498/368498	---M--	200	added ('OK')	image/png	etag:%224e026ad-59f72-55b2986dd7380%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/landing/screen2.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/landing/screen2.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-landing.html)
15:32:23	48421/48421	---M--	200	added ('OK')	image/jpeg	etag:%224e02714-bd25-550519e106180%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/team5.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/team5.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:25	54770/54770	---M--	200	added ('OK')	image/jpeg	etag:%224e02715-d5f2-550519a5e5600%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/team6.jpg	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/team6.jpg	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
15:32:25	10305/10305	---M--	200	added ('OK')	image/png	etag:%224e026c5-2841-55a93f0ab3e00%22	http://bootstraplovers.com/assan3.5/classic-template/html/images/partner1.png	D:/web_templates/assan3.5_classic-template/bootstraplovers.com/assan3.5/classic-template/html/images/partner1.png	(from http://bootstraplovers.com/assan3.5/classic-template/html/classic-onepage-events.html)
